Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
9/7/2021,35.2,13.5,3.9,37.6,28.9,4.5,45,41.85,29.1,29.1
9/8/2021,36.5,14.4,4.2,34.55,27.1,4.4,36.8,29.9,22.95,30.7
9/9/2021,32.45,17.3,5.7,32.4,25.45,7,39.9,28.4,16.3,27.35
9/11/2021,33.45,19.35,7.7,32.95,25.5,10.5,42,28.6,24,28.1
9/12/2021,33.3,25,8.3,33.75,27.1,9.5,41.9,28.55,29.5,28.85
10/3/2021,32.75,12.2,2.7,37.55,18.4,5.2,37.2,27.95,29.5,18.7
10/5/2021,36.2,11.1,7.5,44.8,24.9,5.3,35,33.2,26.3,24.3
10/6/2021,34.1,13.1,4.3,49.5,30.3,5.2,38,37.9,29.1,28.9
10/8/2021,36.35,14.4,4,34.65,26.85,4.8,36.8,29.65,22.95,30.6
10/9/2021,32.3,17.15,5.8,32.3,25.8,6.9,43.8,28.2,18.8,27.2
10/11/2021,33.4,19.4,7.8,32.5,26,10.5,42,28.6,17.3,28.45
10/12/2021,33.4,24.4,8.2,33.55,26.8,9.7,41.9,28.35,23.5,28.6
11/1/2021,30.35,11.5,3.5,38.7,20.2,4.4,40,26.35,29.8,20.1
11/3/2021,33,13,2.7,38.2,18.4,4.9,37.7,28.25,29,19.3
11/5/2021,35.8,11.05,6.8,44.2,25.7,5.3,37,32.7,30.3,24.65
11/6/2021,34.65,13.25,4.3,52.9,30.4,5.2,38,39.4,23.8,30.5
11/8/2021,36,14.2,4.2,34.3,26.65,5.2,36.8,29.7,18.8,30.4
11/10/2021,32.6,17.05,7.2,31,23.3,10,45,28.8,17.7,26.5
11/11/2021,33,19.4,7.9,31.95,26.4,10.5,42,28.1,25.4,27.7
12/1/2021,30.1,11.25,3.5,38.5,20.2,4.4,38,26.15,23.7,19.8
12/3/2021,32.95,12.8,2.9,37.95,18.4,5.1,39,28.25,23.7,19.2
12/4/2021,35.15,12.6,4,43.2,23.4,6.4,38.4,31.65,28.9,23.45
12/5/2021,36.15,11.05,6.2,45,25.35,5.3,35,33.2,30.2,26.35
12/7/2021,32.75,12.6,3.6,35,28.8,4.1,45,29.8,23.7,28.4
12/8/2021,35.3,14,4.2,34.4,26.7,5.7,36.8,29.5,21.5,29.6
12/10/2021,32.6,17.45,7.3,30.8,23.2,9.8,44.4,28.75,22.1,26.6
12/11/2021,33.35,20.75,8.5,32.7,28.2,11,42,28.55,14.85,28.1
1/3/2022,33.85,21.3,8.9,33.3,33.85,8.7,57,34,13.45,32.65
1/4/2022,33.4,20,10.7,33.05,37.2,10.4,42.8,33.3,15.05,32.2
1/6/2022,31.1,12.95,5.9,27.75,32.5,7.7,44,27.6,11.6,22.25
1/7/2022,24.05,9.8,4.3,26.95,32.4,6.9,43.9,24.2,10.65,22
1/8/2022,25,11.9,4.5,28.7,30.15,7.3,38,26.5,21,25.2
1/11/2022,22.45,7.91,1.9,24.45,36,6.4,36.6,18,14.6,16.9
1/12/2022,22.5,8.14,2,26.15,21,5.1,35.7,17.8,15.1,19.5
2/3/2022,32.9,21.05,8.9,32,32,8.5,55,32.5,11.3,31.25
2/6/2022,25.35,12.7,5.7,27.75,31.95,7.6,45,27.2,11.2,21.55
2/8/2022,24.9,11.9,4.6,28.6,30.3,7.4,38,26.7,21.1,24.95
2/11/2022,21.8,7.9,1.8,24,34.05,6.1,36.6,17.9,14.45,16.9
2/12/2022,23.5,8.68,2.2,27.95,21.5,5.1,32.3,18.8,15.25,20.85
3/3/2022,33.45,21.45,9.3,32.6,32.05,8.9,52,33.1,11.9,31.85
3/6/2022,25.3,12.4,5.6,27.4,31.5,7.7,45,27.4,11.1,21.15
3/8/2022,24.95,12,4.7,29.1,30.8,7.3,38,26.9,22.5,25.45
3/10/2022,21.6,9.12,3.2,21.6,33.3,7.4,35,18.7,21.35,19.2
3/11/2022,21.35,7.58,1.7,23.6,35,6.2,36.6,17.65,21.7,17.25
4/1/2022,34.4,25.5,9.2,34.75,33.9,9.4,46.5,29.1,16.7,32.1
4/3/2022,34.3,21.85,9.1,32.75,31.5,9.2,52,32.9,13.6,32
4/4/2022,33.5,21.4,10.6,32.85,36.7,10.1,46,33,15.2,32.2
4/5/2022,31.75,14.95,7.3,27,29.35,9.3,41.5,28.9,11.5,26.75
4/7/2022,24.25,10.4,4.3,26.6,32.4,6.9,43.9,24.6,11.25,22.35
4/8/2022,25,12,4.8,28.85,30.55,7.4,38,26.95,22,25.2
4/10/2022,21,8.7,3.2,20.75,32.5,7,36,18.8,21.3,18.75
4/11/2022,20.15,7.2,1.6,24.5,32.65,5.8,36.6,17.9,16.5,16.6
5/1/2022,33.7,25.2,9.4,34.75,34.3,9.3,46.5,28.7,13.8,32.55
5/4/2022,33,20.8,10.4,32.35,36.3,10.3,47,32.65,15.15,31.8
5/5/2022,31.7,14.8,7.1,27.9,29.95,9.1,41.5,29,15.45,26.9
5/7/2022,24.45,10.15,4.2,27,32.5,6.8,39.6,25.45,11.7,23.05
5/8/2022,24.85,12.4,4.8,29,30.4,7.4,37,26.95,11.25,25.25
5/9/2022,24.5,12.55,4.3,27.95,30.3,7.9,38.5,23.6,22.5,24.7
5/10/2022,20.8,9.2,3.3,22,34.75,7.4,36,19.2,21.35,19.25
5/12/2022,23.6,09.05,2.4,28.6,21.95,5,32.3,19,15.5,22.3
6/1/2022,33.75,24.85,10,34,34.2,9.2,44,28.35,14.05,32.7
6/4/2022,33.2,20.75,9.6,32.6,36.45,10.5,45,33.35,13.35,32.35
